ID,WAR,ERA,WHIP,WPA,K-BB%,BABIP,LOB%,IP/G,P/PA,RAA,RAR,WAA,Fastball,Slider,Curve,ChangeUP,Splitter,Sinker,Knurkle
LG-45,-0.27,12.27,2.73,-0.06,4.3,0.385,36.6,0.9,3.48,-6.32,-3.12,-0.32,-3.0,0.3,0.0,0.0,-1.0,0.0,0.0
ÇÑÈ­-55,1.0,0.93,0.83,0.7,14.5,0.188,84.2,1.1,4.42,8.27,12.17,0.74,3.9,2.6,0.1,0.0,0.0,0.1,0.0
KIA-61,0.08,5.14,1.57,-0.07,-5.9,0.191,88.2,1.4,3.91,0.45,1.0,-0.01,-1.3,-0.9,-0.1,0.0,0.9,0.0,0.0
NC-21,-0.14,6.75,1.5,-0.75,6.0,0.271,56.2,3.7,4.09,-3.54,-1.32,-0.34,-6.0,0.2,0.0,-0.1,1.4,-0.7,0.0
Å°¿ò-49,-0.3,6.43,2.0,-1.04,0.0,0.345,56.3,0.9,4.05,-3.4,-2.42,-0.4,-1.4,-3.7,0.0,0.4,0.0,0.0,0.0
SSG-21,-0.04,7.11,2.05,-0.28,6.5,0.385,82.0,3.2,4.23,-1.24,-0.09,-0.13,-4.0,2.5,-0.3,0.2,0.0,0.0,0.0
µÎ»ê-19,-0.32,8.74,2.03,-0.35,1.6,0.34,56.6,1.6,3.72,-5.83,-2.89,-0.47,-4.4,0.8,0.1,0.6,-0.2,0.0,0.0
µÎ»ê-11,-0.01,6.75,1.5,-0.06,0.0,0.0,50.0,0.4,4.0,-0.24,0.0,-0.03,0.1,0.0,0.1,0.0,0.0,0.0,0.0
·Ôµ¥-27,0.01,0.0,6.0,0.0,0.0,0.667,100.0,0.3,3.0,0.25,0.15,0.01,-0.7,0.0,0.0,0.0,0.0,0.0,0.0
KT-62,0.73,1.93,1.64,0.62,-1.5,0.267,92.6,1.0,4.23,5.03,9.46,0.54,0.7,2.1,0.0,0.0,2.4,0.0,0.0
NC-24,-0.25,40.5,4.5,-0.34,-40.0,0.0,0.0,0.7,6.0,-2.51,-2.97,-0.26,0.4,0.0,-3.5,0.1,-0.5,0.0,0.0
KIA-56,-0.37,10.0,2.44,-0.36,-2.0,0.405,47.8,1.8,3.82,-6.46,-4.23,-0.49,-6.2,-1.2,-1.2,0.1,0.0,0.0,0.0
»ï¼º-29,0.53,4.0,1.5,-0.58,7.6,0.29600000000000004,74.7,5.1,4.11,1.4,7.63,0.05,-3.3,3.6,-2.7,-1.4,0.0,0.3,0.0
·Ôµ¥-22,-0.54,10.13,1.73,-1.05,19.4,0.414,45.5,0.9,4.0,-6.28,-4.28,-0.72,0.4,-0.1,0.0,0.0,-6.2,0.0,0.0
KIA-38,-0.22,10.8,2.2,-0.13,15.4,0.385,58.8,1.0,5.15,-4.07,-2.25,-0.29,-3.7,0.1,0.0,0.0,0.7,0.0,0.0
ÇÑÈ­-53,0.65,4.29,1.29,0.13,10.4,0.252,72.0,5.3,4.19,2.04,9.27,0.09,-1.1,0.6,-0.7,0.0,6.1,0.0,0.0
LG-57,0.39,2.7,1.56,0.31,-1.3,0.273,82.0,2.8,4.2,2.86,4.97,0.17,2.4,1.1,-0.6,0.8,0.0,0.6,0.0
Å°¿ò-21,0.93,1.35,1.4,0.59,12.5,0.33299999999999996,83.3,1.2,4.24,6.13,12.56,0.67,0.8,3.4,0.0,3.0,0.0,-0.4,0.0
KIA-26,-0.18,10.29,2.14,0.05,-13.9,0.2,51.5,1.8,5.0,-4.28,-1.81,-0.28,1.2,-0.8,0.1,0.0,-3.3,0.0,0.0
·Ôµ¥-42,0.29,3.0,1.42,0.04,7.8,0.294,83.3,2.0,4.26,3.67,3.16,0.13,2.4,0.1,-0.5,0.0,1.2,0.8,0.0
NC-58,-0.41,7.66,2.1,-0.78,-0.9,0.342,67.4,4.5,3.87,-7.73,-3.4,-0.71,-9.3,-1.3,-0.5,0.6,0.3,0.0,0.0
LG-54,0.03,3.86,0.86,-0.04,22.2,0.28600000000000003,50.0,0.8,3.78,0.24,0.39,0.0,0.8,-0.6,0.3,0.0,0.0,0.0,0.0
·Ôµ¥-41,0.7,3.32,1.47,-0.48,6.0,0.298,80.9,1.1,4.29,4.33,10.08,0.44,0.0,1.1,0.0,0.0,2.5,-0.2,0.0
NC-55,-0.12,5.79,1.5,0.44,9.8,0.3,58.8,1.0,4.15,-2.42,1.0,-0.37,-2.9,1.4,0.0,0.0,1.3,0.0,0.0
KT-40,1.48,2.08,1.13,0.35,8.7,0.239,74.7,6.0,4.14,9.34,17.0,0.84,3.0,1.3,0.0,-1.3,0.0,7.6,0.0
ÇÑÈ­-47,-0.08,6.2,1.72,-0.71,11.8,0.382,62.5,1.5,4.24,-2.43,1.99,-0.35,-0.5,1.0,0.4,-0.7,0.0,0.0,0.0
NC-61,-0.18,27.0,5.0,-0.23,-28.6,0.667,40.0,1.0,4.71,-2.31,-2.11,-0.19,-1.6,0.0,-0.1,-0.1,0.0,0.0,0.0
»ï¼º-4,2.08,2.17,1.15,0.81,15.8,0.287,77.5,6.2,3.95,14.26,21.85,1.42,2.5,4.3,0.6,4.0,0.0,1.1,0.0
·Ôµ¥-5,0.04,0.0,1.0,0.0,0.0,0.0,100.0,1.0,4.25,0.61,0.39,0.02,0.6,0.0,0.0,0.0,0.0,0.0,0.0
KIA-15,1.07,3.4,1.24,0.3,13.9,0.265,78.6,5.7,4.19,6.33,12.84,0.54,3.9,2.7,-1.1,-2.8,0.0,1.6,0.0
KT-46,0.07,2.08,1.15,-0.04,22.2,0.364,66.7,1.1,4.44,0.61,0.98,0.02,1.2,1.8,-1.2,0.0,-0.2,0.0,0.0
ÇÑÈ­-45,-0.25,7.82,2.05,-0.35,-4.5,0.318,63.9,2.5,4.05,-4.25,-2.85,-0.42,2.4,1.0,-2.6,-3.4,0.0,0.0,0.0
LG-66,0.01,5.79,1.79,-0.28,10.8,0.429,65.4,1.8,4.28,-1.89,0.63,-0.18,-0.6,-1.0,-0.6,-1.5,0.7,-0.8,0.0
KIA-31,-0.23,8.1,2.4,-0.71,-3.7,0.441,66.7,0.8,3.87,-2.85,-1.21,-0.36,0.0,0.0,1.3,0.0,0.0,-4.9,0.0
Å°¿ò-34,-0.09,12.0,2.0,-0.01,-6.7,0.25,62.5,1.0,3.73,-2.34,-0.98,-0.13,-1.8,-0.4,-0.1,-0.1,0.0,0.0,0.0
Å°¿ò-28,0.18,4.26,1.63,-0.17,9.0,0.302,74.5,1.2,4.42,0.38,3.56,-0.07,-0.7,-0.2,0.5,1.8,0.0,0.0,0.0
Å°¿ò-61,-0.37,6.91,1.57,-0.8,2.2,0.247,62.2,3.6,4.05,-9.2,-2.6,-0.76,-3.2,-0.5,-0.6,-0.1,0.0,0.0,0.0
SSG-51,1.21,2.29,1.42,1.02,10.7,0.289,91.9,1.2,3.88,7.34,15.8,0.95,2.2,5.9,0.0,0.8,0.0,-0.4,0.0
NC-63,0.11,0.0,1.13,0.01,9.1,0.3,100.0,1.3,3.82,1.72,1.16,0.08,0.0,0.8,0.3,0.0,0.1,0.0,0.0
Å°¿ò-17,0.25,4.42,1.8,0.33,4.7,0.379,72.7,1.0,3.87,0.91,5.1,0.0,-0.6,1.1,-0.1,0.0,4.3,-1.8,0.0
LG-46,0.31,3.86,1.34,0.18,7.8,0.322,73.2,1.3,3.79,1.7,5.14,0.06,0.0,-1.2,1.0,-0.9,0.0,3.4,0.0
ÇÑÈ­-1,-0.07,7.71,2.04,-0.23,0.0,0.217,82.1,1.2,4.79,-2.59,-0.55,-0.2,-1.9,-1.0,-1.8,-0.4,0.0,0.0,0.0
SSG-43,0.0,6.3,2.0,-0.04,4.0,0.364,64.5,1.7,3.96,-1.53,0.13,-0.13,-4.9,2.0,0.0,-0.4,0.0,0.0,0.0
·Ôµ¥-34,0.61,3.46,1.0,-0.38,17.3,0.235,78.4,1.0,3.73,3.28,8.86,0.43,-1.7,-0.1,0.0,0.0,2.1,0.0,0.0
NC-40,0.94,3.15,1.45,0.6,11.7,0.322,71.2,5.7,3.79,5.06,11.72,0.41,-0.5,3.5,1.6,0.0,2.5,-1.5,0.0
LG-36,1.54,1.96,1.11,1.18,20.4,0.292,81.1,5.9,3.96,10.37,16.85,0.99,3.9,4.6,-0.6,0.1,0.0,3.3,0.0
SSG-34,0.33,4.05,1.28,0.12,13.2,0.325,77.5,4.4,3.87,1.84,4.07,0.15,0.0,-1.4,2.5,0.0,-0.4,0.0,0.0
µÎ»ê-34,1.76,2.34,1.37,0.7,6.5,0.309,84.2,6.1,3.88,12.12,18.62,1.2,0.6,0.1,0.2,5.1,0.0,6.4,0.0
KIA-46,0.51,3.75,1.13,-0.19,11.2,0.26899999999999996,69.9,1.6,4.12,4.86,6.25,0.19,2.8,-0.2,-0.1,1.7,0.0,0.0,0.0
