ID,WAR,G,OPS,wOBA,wRC+,WPA,BB/K,IsoP,IsoD,BABIP,Spd,pLI,Clutch,P/PA
Å°¿ò-62,0.32,31,0.707,0.345,98.5,0.06,0.67,0.111,0.151,0.314,4.4,0.06,0.02,4.18
»ï¼º-55,-0.05,2,0,0,-131.4,-0.06,0,0,0,0,0,-0.06,-0.05,3.5
KIA-52,0.06,2,1.25,0.505,211.9,0.08,0,0.75,0,0,0,0.08,0.01,4.25
NC-20,0,1,0,0.779,0,0,0,0,0,0,0,0,0.01,3
»ï¼º-16,0.02,30,0.664,0.319,76.6,0.22,0.64,0.135,0.125,0.234,4,0.22,-0.14,4.12
NC-10,-0.05,24,0.501,0.269,44.8,-0.02,0.46,0.032,0.146,0.238,3.9,-0.02,-0.16,3.64
Å°¿ò-24,-0.35,26,0.632,0.295,64.1,-0.19,0.18,0.101,0.026,0.293,0.9,-0.19,-0.46,3.59
»ï¼º-53,0.08,31,0.694,0.324,80.1,0.06,0.29,0.152,0.087,0.348,3.2,0.06,0.14,4.11
ÇÑÈ­-33,-0.16,21,0.602,0.285,56.6,-0.31,0.33,0.055,0.039,0.304,1.3,-0.31,-0.22,4.1
ÇÑÈ­-13,0.26,26,0.659,0.322,81.4,-0.33,2,0.053,0.133,0.254,2.1,-0.33,-0.08,4.11
KIA-2,-0.07,6,0.44,0.233,20.4,-0.18,0.33,0,0.087,0.214,1.6,-0.18,-0.22,3.05
SSG-17,0.53,33,0.761,0.361,106.1,0.72,0.74,0.19,0.158,0.221,4.3,0.72,0.99,4.39
·Ôµ¥-25,0.87,33,0.834,0.388,121.1,0.04,0.65,0.184,0.124,0.333,1,0.04,0.1,4.51
Å°¿ò-31,-0.19,19,0.46,0.244,30.5,-0.02,1,0,0.103,0.208,1.3,-0.02,0,3.59
KT-10,0.75,18,0.852,0.408,135.5,0.01,0.8,0.103,0.101,0.404,6.4,0.01,0.16,4.65
SSG-35,0.34,33,0.737,0.347,97.5,-0.3,0.43,0.139,0.094,0.306,2.1,-0.3,0.25,3.87
NC-9,-0.22,7,0.154,0.069,-85.8,-0.04,0,0,0,0.091,4.4,-0.04,-0.12,3
»ï¼º-63,1.81,36,1.057,0.468,171.5,1.74,0.65,0.29,0.05,0.348,4.9,1.74,1.64,3.72
ÇÑÈ­-16,0.97,34,0.822,0.389,125.5,-0.12,0.56,0.144,0.102,0.367,6.2,-0.12,0.54,3.91
NC-64,-0.23,8,0.316,0.138,-40.3,-0.29,0,0,0,0.167,5,-0.29,-0.32,2.95
ÇÑÈ­-26,0.04,1,0.833,0.428,151.4,0,0,0,0.167,0.333,1.9,0,0.06,3.75
ÇÑÈ­-25,-0.26,30,0.621,0.294,63,-0.42,0.21,0.086,0.04,0.318,2.6,-0.42,-0.32,3.73
